State/UT,EV Charging stations
Andaman and Nicobar Islands,7
Andhra Pradesh,1309
Arunachal Pradesh,53
Assam,518
Bihar,818
Chandigarh,22
Chhattisgarh,571
Dadra and Nagar Haveli,18
Delhi,358
Goa,85
Gujarat,1470
Haryana,1287
Himachal Pradesh,165
Jammu and Kashmir,197
Jharkhand,458
Karnataka,1972
Kerala,834
Ladakh,15
Lakshadweep,1
Madhya Pradesh,1328
Maharashtra,2010
Manipur,69
Meghalaya,81
Mizoram,18
Nagaland,47
Odisha,893
Pondicherry,36
Punjab,1064
Rajasthan,1901
Sikkim,13
Tamil Nadu,2434
Telangana,1313
Tripura,58
Uttar Pradesh,2901
Uttarakhand,252
West Bengal,1276
